MeterID,MeterGeoLocation,Timestamp,MeterUp,MeterDown,MeterMake,MeterModel,Latitude,Longitude
MTR097,"Sector 17, Dallas",2024-11-03 06:05:00,1013,755,MakeA,ModelY,32.8136132092105,-96.8136483047507
MTR068,"Sector 5, Dallas",2024-11-04 07:33:00,1949,725,MakeC,ModelZ,32.79863209201929,-96.82947654293899
MTR045,"Sector 5, Dallas",2024-11-07 11:09:00,1651,555,MakeA,ModelX,32.782574914788725,-96.83104215860848
MTR099,"Sector 20, Dallas",2024-11-20 05:24:00,1898,662,MakeA,ModelZ,32.76592800197242,-96.83506590644932
MTR054,"Sector 17, Dallas",2024-11-08 04:00:00,1441,636,MakeB,ModelY,32.74680089436713,-96.76648904897202
MTR057,"Sector 14, Dallas",2024-11-13 05:18:00,1139,524,MakeA,ModelX,32.73850769520444,-96.78902786855932
MTR098,"Sector 12, Dallas",2024-11-30 22:42:00,1331,571,MakeA,ModelZ,32.76654206349953,-96.75737622948257
MTR064,"Sector 5, Dallas",2024-11-18 21:38:00,1354,648,MakeC,ModelZ,32.75569761669981,-96.82189615374142
MTR064,"Sector 7, Dallas",2024-11-30 11:28:00,1033,782,MakeC,ModelX,32.73413153201525,-96.78047260731013
MTR077,"Sector 5, Dallas",2024-11-08 18:21:00,1403,665,MakeC,ModelY,32.78198573370478,-96.7516007829747
MTR082,"Sector 15, Dallas",2024-11-07 08:59:00,1904,761,MakeA,ModelY,32.804429795166854,-96.7931715990397
MTR089,"Sector 8, Dallas",2024-11-18 17:51:00,1696,543,MakeB,ModelY,32.738133695577226,-96.78258689351625
MTR090,"Sector 7, Dallas",2024-11-21 07:39:00,1115,661,MakeB,ModelZ,32.769792056785924,-96.84412719406231
MTR035,"Sector 19, Dallas",2024-11-20 07:05:00,1250,692,MakeC,ModelX,32.786693764070264,-96.81399786540963
MTR073,"Sector 9, Dallas",2024-11-15 15:40:00,1468,569,MakeA,ModelZ,32.803810852229546,-96.83006984948393
MTR060,"Sector 15, Dallas",2024-11-24 19:24:00,1066,723,MakeA,ModelY,32.76886649780264,-96.76253367819766
MTR074,"Sector 19, Dallas",2024-11-20 14:42:00,1727,532,MakeC,ModelZ,32.82527984593,-96.76459420167961
MTR066,"Sector 12, Dallas",2024-11-29 01:54:00,1931,520,MakeA,ModelX,32.80214698920082,-96.80909026678307
MTR067,"Sector 2, Dallas",2024-11-01 11:45:00,1620,506,MakeA,ModelZ,32.78909748363766,-96.74767998742514
MTR060,"Sector 2, Dallas",2024-11-08 07:28:00,1394,597,MakeA,ModelX,32.787125279905894,-96.82665348632392
MTR018,"Sector 9, Dallas",2024-11-11 21:34:00,1680,782,MakeB,ModelX,32.75398150691175,-96.79288055475307
MTR047,"Sector 19, Dallas",2024-11-07 14:00:00,1140,641,MakeA,ModelY,32.81043541722132,-96.74969691066721
MTR093,"Sector 7, Dallas",2024-11-22 02:16:00,1225,595,MakeA,ModelX,32.79289597623704,-96.81873239756595
MTR041,"Sector 6, Dallas",2024-11-24 00:46:00,1967,548,MakeA,ModelX,32.73083154209264,-96.75835837868493
MTR073,"Sector 5, Dallas",2024-11-13 20:26:00,1604,542,MakeA,ModelY,32.764592932199655,-96.77774571818449
MTR075,"Sector 11, Dallas",2024-11-20 08:56:00,1111,578,MakeC,ModelZ,32.804792189698304,-96.7590634189639
MTR095,"Sector 10, Dallas",2024-11-01 04:40:00,1612,610,MakeA,ModelZ,32.80547930270341,-96.80942430024348
MTR019,"Sector 11, Dallas",2024-11-18 16:12:00,1852,597,MakeB,ModelX,32.79875582995745,-96.77844624901384
MTR034,"Sector 13, Dallas",2024-11-07 11:52:00,1152,724,MakeC,ModelZ,32.79733345225482,-96.77843178665684
MTR086,"Sector 15, Dallas",2024-11-10 08:33:00,1768,513,MakeB,ModelZ,32.792773777659605,-96.78782228711688
MTR011,"Sector 16, Dallas",2024-11-27 04:22:00,1734,528,MakeC,ModelX,32.767021690773475,-96.80404922684194
MTR037,"Sector 10, Dallas",2024-11-22 05:43:00,1124,516,MakeB,ModelY,32.77695862972363,-96.75733262739084
MTR053,"Sector 14, Dallas",2024-11-16 21:22:00,1981,622,MakeB,ModelZ,32.81522540974556,-96.77426752484405
MTR047,"Sector 7, Dallas",2024-11-23 11:22:00,1393,534,MakeC,ModelX,32.80000099720855,-96.82650301756767
MTR073,"Sector 16, Dallas",2024-11-28 14:46:00,1891,726,MakeA,ModelZ,32.781705330577026,-96.76622475334037
MTR051,"Sector 2, Dallas",2024-11-11 16:29:00,1390,783,MakeA,ModelY,32.81604814896162,-96.75116213007801
MTR093,"Sector 11, Dallas",2024-11-25 13:06:00,1747,545,MakeC,ModelZ,32.82368117803076,-96.83276817659042
MTR013,"Sector 9, Dallas",2024-11-04 00:43:00,1199,537,MakeB,ModelZ,32.7391356390506,-96.78593813656221
MTR084,"Sector 16, Dallas",2024-11-06 14:42:00,1811,573,MakeA,ModelZ,32.75299279398421,-96.81756779830283
MTR087,"Sector 12, Dallas",2024-11-08 16:13:00,1216,716,MakeB,ModelY,32.815055015740974,-96.81156479055996
MTR074,"Sector 6, Dallas",2024-11-26 01:21:00,1723,569,MakeA,ModelZ,32.789099539445466,-96.7632140605339
MTR073,"Sector 11, Dallas",2024-11-26 13:35:00,1410,762,MakeC,ModelY,32.81339277593291,-96.7879206600408
MTR074,"Sector 13, Dallas",2024-11-12 17:59:00,1328,558,MakeC,ModelZ,32.79783502057199,-96.79078216534103
MTR091,"Sector 1, Dallas",2024-11-07 23:39:00,1363,784,MakeA,ModelX,32.72951692090308,-96.8125809679699
MTR014,"Sector 12, Dallas",2024-11-15 13:42:00,1465,676,MakeC,ModelZ,32.737091742435666,-96.78142779428588
MTR062,"Sector 9, Dallas",2024-11-13 02:54:00,1599,790,MakeA,ModelY,32.791942302508794,-96.77996061121743
MTR083,"Sector 4, Dallas",2024-11-06 22:54:00,1480,591,MakeA,ModelZ,32.72708816067458,-96.74833090243783
MTR080,"Sector 5, Dallas",2024-11-17 05:41:00,1848,672,MakeC,ModelX,32.73718214417151,-96.78416349209084
MTR095,"Sector 1, Dallas",2024-11-14 15:31:00,1247,579,MakeB,ModelY,32.78309592791982,-96.80116833328339
MTR052,"Sector 3, Dallas",2024-11-13 14:12:00,1470,629,MakeB,ModelX,32.803353525362155,-96.83228774482056
MTR078,"Sector 8, Dallas",2024-11-29 18:05:00,1577,738,MakeB,ModelX,32.7307590859953,-96.8248164336066
MTR035,"Sector 19, Dallas",2024-11-11 14:19:00,1162,602,MakeB,ModelX,32.79646764418775,-96.77079542865073
MTR015,"Sector 18, Dallas",2024-11-15 19:17:00,1969,520,MakeA,ModelX,32.79353671601998,-96.8187758554581
MTR099,"Sector 9, Dallas",2024-11-23 16:13:00,1119,536,MakeB,ModelZ,32.748011096364166,-96.76372318552853
MTR062,"Sector 17, Dallas",2024-11-22 11:44:00,1239,661,MakeB,ModelZ,32.78361736247575,-96.75518978545774
MTR065,"Sector 8, Dallas",2024-11-05 14:08:00,1113,751,MakeA,ModelY,32.74582900697772,-96.82868852023897
MTR065,"Sector 16, Dallas",2024-11-18 02:23:00,1880,741,MakeC,ModelY,32.82158815411345,-96.7765749414389
MTR077,"Sector 16, Dallas",2024-11-20 23:49:00,1038,694,MakeA,ModelX,32.79294555547346,-96.81511493755825
MTR032,"Sector 9, Dallas",2024-11-24 01:10:00,1098,543,MakeC,ModelZ,32.76936078084033,-96.76441134832929
MTR086,"Sector 14, Dallas",2024-11-22 15:25:00,1718,771,MakeB,ModelZ,32.76989865952539,-96.80057672167537
MTR060,"Sector 19, Dallas",2024-11-25 06:06:00,1101,678,MakeC,ModelX,32.73962199885821,-96.77336383802879
MTR088,"Sector 1, Dallas",2024-11-18 07:58:00,1975,578,MakeB,ModelX,32.81019814075803,-96.78106681827954
MTR028,"Sector 16, Dallas",2024-11-09 10:02:00,1973,777,MakeA,ModelY,32.74677979596355,-96.84555624578455
MTR068,"Sector 11, Dallas",2024-11-20 13:58:00,1683,572,MakeB,ModelZ,32.728120735951954,-96.8367192520779
MTR082,"Sector 19, Dallas",2024-11-09 03:53:00,1583,792,MakeB,ModelY,32.773841019251364,-96.76321746168819
MTR068,"Sector 10, Dallas",2024-11-08 05:54:00,1473,748,MakeA,ModelZ,32.820244993551334,-96.79181196338708
MTR047,"Sector 2, Dallas",2024-11-24 12:02:00,1386,543,MakeA,ModelY,32.812834441924906,-96.74948028183549
MTR083,"Sector 8, Dallas",2024-11-09 22:47:00,1743,544,MakeC,ModelZ,32.77444838890845,-96.79173313155877
MTR024,"Sector 6, Dallas",2024-11-28 17:05:00,1015,654,MakeB,ModelY,32.802017493968584,-96.81760509475865
MTR088,"Sector 13, Dallas",2024-11-19 17:49:00,1371,654,MakeB,ModelX,32.77143292201605,-96.7885335799004
MTR070,"Sector 12, Dallas",2024-11-02 06:19:00,1777,788,MakeC,ModelY,32.78418441705626,-96.84450998654076
MTR051,"Sector 16, Dallas",2024-11-10 08:52:00,1671,667,MakeC,ModelX,32.754469690997915,-96.80451706719165
MTR023,"Sector 12, Dallas",2024-11-27 03:44:00,1268,690,MakeA,ModelX,32.79870062876001,-96.80707843538474
MTR028,"Sector 17, Dallas",2024-11-20 13:25:00,1604,661,MakeA,ModelY,32.822880612880724,-96.84565353289906
MTR009,"Sector 2, Dallas",2024-11-25 00:07:00,1513,790,MakeB,ModelZ,32.815121575665515,-96.77851375708877
MTR025,"Sector 12, Dallas",2024-11-10 21:09:00,1641,737,MakeB,ModelY,32.820549566778936,-96.80866106184742
MTR043,"Sector 16, Dallas",2024-11-05 06:47:00,1595,685,MakeB,ModelY,32.80858222990586,-96.8333561242192
MTR090,"Sector 9, Dallas",2024-11-18 23:11:00,1863,797,MakeA,ModelZ,32.80175994469793,-96.78048331827006
MTR065,"Sector 17, Dallas",2024-11-05 08:03:00,1485,527,MakeA,ModelX,32.770969539511725,-96.8405647170491
MTR001,"Sector 11, Dallas",2024-11-16 20:48:00,1278,676,MakeC,ModelY,32.74347349158971,-96.75796061244345
MTR022,"Sector 6, Dallas",2024-11-01 02:34:00,1488,549,MakeC,ModelY,32.81157872568608,-96.79242171726841
MTR087,"Sector 3, Dallas",2024-11-25 02:45:00,1799,747,MakeC,ModelY,32.75085320561724,-96.79778629852484
MTR008,"Sector 10, Dallas",2024-11-23 10:08:00,1475,588,MakeC,ModelY,32.746789691356476,-96.82928242852529
MTR083,"Sector 2, Dallas",2024-11-01 12:47:00,1237,674,MakeB,ModelY,32.72963820896528,-96.7641235181539
MTR062,"Sector 7, Dallas",2024-11-03 22:28:00,1999,756,MakeB,ModelX,32.787831922696384,-96.76851259653633
MTR023,"Sector 14, Dallas",2024-11-23 22:59:00,1461,509,MakeB,ModelX,32.74613892932625,-96.77916060526633
MTR050,"Sector 15, Dallas",2024-11-20 00:13:00,1347,575,MakeA,ModelZ,32.7998774738273,-96.76418137626062
MTR040,"Sector 3, Dallas",2024-11-19 16:39:00,1596,512,MakeB,ModelX,32.775507704510595,-96.83671578350487
MTR076,"Sector 12, Dallas",2024-11-16 22:15:00,1228,727,MakeC,ModelY,32.8178856373782,-96.75862617178656
MTR087,"Sector 10, Dallas",2024-11-11 22:48:00,1468,548,MakeA,ModelY,32.78614272963961,-96.82623645799805
MTR018,"Sector 10, Dallas",2024-11-19 00:41:00,1344,665,MakeA,ModelY,32.73326439531224,-96.75924870753364
MTR028,"Sector 2, Dallas",2024-11-24 02:10:00,1729,715,MakeC,ModelY,32.735442749249074,-96.81020451348668
MTR093,"Sector 15, Dallas",2024-11-22 06:14:00,1427,683,MakeB,ModelY,32.798828631483175,-96.79826050750816
MTR010,"Sector 2, Dallas",2024-11-07 02:18:00,1345,675,MakeB,ModelY,32.81921873493594,-96.79283469230565
MTR090,"Sector 17, Dallas",2024-11-10 19:14:00,1089,694,MakeA,ModelZ,32.79035016197862,-96.75673170441102
MTR069,"Sector 7, Dallas",2024-11-13 18:19:00,1415,634,MakeA,ModelY,32.76313769232344,-96.83793095749661
MTR057,"Sector 20, Dallas",2024-11-17 15:12:00,1412,612,MakeB,ModelX,32.81394192468417,-96.83803707857962
MTR086,"Sector 14, Dallas",2024-11-19 20:36:00,1723,668,MakeB,ModelZ,32.77264706440535,-96.76751448992368
MTR023,"Sector 20, Dallas",2024-11-09 17:48:00,1024,646,MakeC,ModelZ,32.744750888523335,-96.76419448577357
MTR047,"Sector 18, Dallas",2024-11-17 04:08:00,1395,598,MakeA,ModelZ,32.80130688329218,-96.77086138621672
MTR070,"Sector 1, Dallas",2024-11-04 16:27:00,1113,671,MakeB,ModelY,32.729536886528,-96.8271813229646
MTR081,"Sector 6, Dallas",2024-11-20 12:44:00,1292,719,MakeA,ModelZ,32.8176405144867,-96.83283632101755
MTR096,"Sector 16, Dallas",2024-11-19 03:29:00,1021,634,MakeA,ModelX,32.739199942063,-96.74887091281994
MTR044,"Sector 12, Dallas",2024-11-04 02:09:00,1873,720,MakeB,ModelZ,32.754840972162185,-96.75658149180589
MTR089,"Sector 4, Dallas",2024-11-19 21:19:00,1689,628,MakeB,ModelZ,32.804808537284565,-96.78290743821724
MTR016,"Sector 6, Dallas",2024-11-09 01:18:00,1304,576,MakeC,ModelX,32.7310922460589,-96.7594119390495
MTR028,"Sector 20, Dallas",2024-11-06 21:20:00,1222,725,MakeA,ModelX,32.78303106513698,-96.7493402061824
MTR031,"Sector 16, Dallas",2024-11-05 10:25:00,1636,640,MakeA,ModelY,32.72892978655691,-96.8085207985463
MTR016,"Sector 16, Dallas",2024-11-30 21:38:00,1728,536,MakeA,ModelZ,32.825155547564236,-96.82739940062208
MTR093,"Sector 2, Dallas",2024-11-09 21:10:00,1896,783,MakeB,ModelY,32.73019354871317,-96.80823321975569
MTR006,"Sector 8, Dallas",2024-11-20 19:27:00,1722,775,MakeB,ModelX,32.81320652511947,-96.84455006912123
MTR013,"Sector 14, Dallas",2024-11-15 08:42:00,1929,718,MakeB,ModelX,32.78340767366935,-96.79020347462937
MTR047,"Sector 8, Dallas",2024-11-22 03:17:00,1040,716,MakeA,ModelZ,32.789030970208785,-96.79804376592656
MTR002,"Sector 17, Dallas",2024-11-08 08:51:00,1107,503,MakeA,ModelZ,32.799785171781096,-96.83270324328922
MTR033,"Sector 13, Dallas",2024-11-02 10:53:00,1511,512,MakeB,ModelY,32.73921361239128,-96.84186823458424
MTR007,"Sector 8, Dallas",2024-11-02 21:30:00,1941,690,MakeA,ModelY,32.760265493831774,-96.75063245282252
MTR087,"Sector 4, Dallas",2024-11-16 07:35:00,1513,572,MakeA,ModelY,32.81991655621175,-96.7814191468319
MTR036,"Sector 20, Dallas",2024-11-16 19:05:00,1431,636,MakeC,ModelY,32.778356644673146,-96.78724908605892
MTR033,"Sector 1, Dallas",2024-11-25 12:47:00,1895,527,MakeC,ModelX,32.75664842550979,-96.80405730997082
MTR048,"Sector 14, Dallas",2024-11-14 23:51:00,1525,781,MakeB,ModelX,32.73109564157237,-96.76547532920445
MTR090,"Sector 11, Dallas",2024-11-05 15:48:00,1351,791,MakeC,ModelY,32.824246052586915,-96.77536339342426
MTR046,"Sector 1, Dallas",2024-11-27 12:10:00,1944,695,MakeC,ModelZ,32.81581056863374,-96.8078633411091
MTR036,"Sector 20, Dallas",2024-11-18 12:14:00,1907,729,MakeC,ModelX,32.825985516384335,-96.81114623694454
MTR010,"Sector 4, Dallas",2024-11-05 03:16:00,1732,707,MakeB,ModelX,32.797742144791236,-96.79589937114457
MTR009,"Sector 3, Dallas",2024-11-02 20:28:00,1540,529,MakeA,ModelX,32.808004815827545,-96.80308524374456
MTR087,"Sector 15, Dallas",2024-11-23 03:37:00,1052,543,MakeC,ModelZ,32.76771319874356,-96.82156487984153
MTR089,"Sector 17, Dallas",2024-11-15 20:39:00,1130,598,MakeA,ModelZ,32.73652193134048,-96.83400385515996
MTR030,"Sector 7, Dallas",2024-11-10 15:33:00,1592,508,MakeA,ModelZ,32.779794229338286,-96.83021066980152
MTR023,"Sector 4, Dallas",2024-11-05 00:51:00,1949,691,MakeB,ModelX,32.78450097139773,-96.8252238527605
MTR016,"Sector 5, Dallas",2024-11-23 11:59:00,1885,768,MakeC,ModelX,32.82610917946299,-96.7926998266622
MTR097,"Sector 8, Dallas",2024-11-24 19:19:00,1870,663,MakeA,ModelX,32.79938839006291,-96.76476182101443
MTR012,"Sector 19, Dallas",2024-11-16 21:48:00,1480,506,MakeB,ModelX,32.73085618363897,-96.81810819607631
MTR011,"Sector 13, Dallas",2024-11-22 07:33:00,1105,596,MakeA,ModelY,32.78459020665465,-96.81985227532338
MTR093,"Sector 9, Dallas",2024-11-28 09:10:00,1883,678,MakeA,ModelX,32.76765758385047,-96.80245692393346
MTR079,"Sector 7, Dallas",2024-11-12 06:10:00,1588,604,MakeB,ModelZ,32.78999773989679,-96.78467480739009
MTR079,"Sector 18, Dallas",2024-11-19 02:50:00,1077,575,MakeC,ModelZ,32.737915638707555,-96.78748664584418
MTR049,"Sector 11, Dallas",2024-11-04 09:01:00,1135,778,MakeC,ModelY,32.752819510447004,-96.82890092289517
MTR028,"Sector 3, Dallas",2024-11-03 10:53:00,1302,707,MakeA,ModelY,32.755148679148526,-96.76101458098482
MTR010,"Sector 20, Dallas",2024-11-16 13:39:00,1062,753,MakeC,ModelY,32.77314980752979,-96.77153750449932
MTR006,"Sector 14, Dallas",2024-11-22 16:47:00,1663,696,MakeA,ModelZ,32.82444876819842,-96.82958080256827
MTR065,"Sector 19, Dallas",2024-11-23 17:22:00,1599,700,MakeC,ModelZ,32.74947731057879,-96.80313738800885
MTR093,"Sector 2, Dallas",2024-11-11 18:46:00,1214,609,MakeB,ModelZ,32.72922659585668,-96.80736905972198
MTR006,"Sector 20, Dallas",2024-11-20 20:06:00,1315,538,MakeB,ModelY,32.81265936094671,-96.77319573938814
MTR015,"Sector 3, Dallas",2024-11-27 09:40:00,1341,504,MakeC,ModelZ,32.7933568899748,-96.82784480047903
MTR030,"Sector 19, Dallas",2024-11-10 05:28:00,1056,700,MakeB,ModelZ,32.74115240361495,-96.74703387566342
MTR020,"Sector 15, Dallas",2024-11-22 21:04:00,1356,572,MakeB,ModelZ,32.7275346720071,-96.74765728189008
MTR078,"Sector 2, Dallas",2024-11-19 14:26:00,1633,636,MakeA,ModelZ,32.80196192034377,-96.76799144664648
MTR056,"Sector 16, Dallas",2024-11-08 17:55:00,1130,531,MakeC,ModelX,32.75516629847967,-96.84566825981135
MTR022,"Sector 8, Dallas",2024-11-20 09:00:00,1332,599,MakeA,ModelZ,32.792186578157306,-96.84225290172965
MTR052,"Sector 8, Dallas",2024-11-29 03:26:00,1757,525,MakeB,ModelY,32.735957164881995,-96.74801525451143
MTR034,"Sector 5, Dallas",2024-11-04 05:18:00,1693,800,MakeA,ModelZ,32.783563170688694,-96.82708742143627
MTR066,"Sector 5, Dallas",2024-11-14 05:49:00,1126,793,MakeB,ModelZ,32.808646874990444,-96.75719533769623
MTR060,"Sector 13, Dallas",2024-11-06 00:05:00,1535,593,MakeA,ModelZ,32.745870350117976,-96.75198581271441
MTR062,"Sector 20, Dallas",2024-11-21 20:46:00,1784,768,MakeA,ModelX,32.81655629494086,-96.7751175819308
MTR097,"Sector 4, Dallas",2024-11-19 22:44:00,1968,549,MakeA,ModelZ,32.80941747992358,-96.81823360034998
MTR024,"Sector 16, Dallas",2024-11-02 16:20:00,1122,700,MakeB,ModelZ,32.799432593434545,-96.76486764249098
MTR006,"Sector 8, Dallas",2024-11-12 05:33:00,1851,557,MakeB,ModelZ,32.79295337622504,-96.84098499928072
MTR055,"Sector 19, Dallas",2024-11-27 23:11:00,1770,776,MakeC,ModelZ,32.77048260702011,-96.81118715330982
MTR099,"Sector 7, Dallas",2024-11-12 13:14:00,1771,732,MakeB,ModelY,32.793610781557824,-96.84197420919799
MTR053,"Sector 12, Dallas",2024-11-25 04:07:00,1296,756,MakeB,ModelX,32.82274796111374,-96.76116333628646
MTR044,"Sector 15, Dallas",2024-11-11 23:58:00,1377,622,MakeA,ModelZ,32.78117625925696,-96.75773709651999
MTR021,"Sector 8, Dallas",2024-11-09 21:10:00,1671,684,MakeB,ModelY,32.75570102601259,-96.84668927192757
MTR074,"Sector 17, Dallas",2024-11-26 04:36:00,1736,559,MakeC,ModelX,32.7982501977527,-96.81281095883656
MTR077,"Sector 19, Dallas",2024-11-01 12:27:00,1335,689,MakeA,ModelX,32.784214801782355,-96.7875100178018
MTR053,"Sector 14, Dallas",2024-11-13 04:49:00,1917,672,MakeB,ModelX,32.74995749045563,-96.77639684873904
MTR045,"Sector 13, Dallas",2024-11-05 21:59:00,1006,707,MakeA,ModelY,32.818937722847245,-96.83876483735368
MTR028,"Sector 17, Dallas",2024-11-20 11:26:00,1251,655,MakeA,ModelX,32.78863927420394,-96.79322080327464
MTR042,"Sector 20, Dallas",2024-11-04 10:20:00,1596,524,MakeA,ModelX,32.74733151409118,-96.78196807618066
MTR062,"Sector 14, Dallas",2024-11-10 00:25:00,1681,600,MakeC,ModelZ,32.74048574580949,-96.8393472547932
MTR035,"Sector 19, Dallas",2024-11-12 08:23:00,1011,773,MakeB,ModelX,32.75219846395901,-96.78023508376072
MTR056,"Sector 5, Dallas",2024-11-29 11:23:00,1225,550,MakeA,ModelY,32.755847159700515,-96.7798241404257
MTR076,"Sector 20, Dallas",2024-11-03 12:39:00,1459,733,MakeC,ModelY,32.79924654608581,-96.81004266359827
MTR079,"Sector 2, Dallas",2024-11-01 06:41:00,1935,539,MakeC,ModelZ,32.82668461545417,-96.83333207832146
MTR042,"Sector 19, Dallas",2024-11-03 18:53:00,1518,571,MakeA,ModelX,32.78644176290125,-96.75508970279007
MTR010,"Sector 1, Dallas",2024-11-26 18:46:00,1744,772,MakeC,ModelX,32.738979036119645,-96.80877540620565
MTR075,"Sector 3, Dallas",2024-11-02 09:03:00,1047,512,MakeB,ModelX,32.73749184329153,-96.75713239404467
MTR033,"Sector 15, Dallas",2024-11-07 07:31:00,1869,533,MakeC,ModelZ,32.81094952101521,-96.75343689968614
MTR074,"Sector 1, Dallas",2024-11-26 06:50:00,1523,546,MakeB,ModelX,32.8114897732964,-96.81629636440603
MTR046,"Sector 14, Dallas",2024-11-08 19:06:00,1329,552,MakeB,ModelX,32.79603801448691,-96.76171846094657
MTR080,"Sector 6, Dallas",2024-11-02 06:30:00,1570,732,MakeC,ModelY,32.81125638168962,-96.82346175160026
MTR012,"Sector 18, Dallas",2024-11-26 16:14:00,1058,736,MakeC,ModelZ,32.78241017742141,-96.75543794422214
MTR023,"Sector 1, Dallas",2024-11-29 22:06:00,1235,570,MakeB,ModelY,32.728873420254665,-96.82955825859017
MTR021,"Sector 13, Dallas",2024-11-22 10:44:00,1975,587,MakeB,ModelZ,32.783985118815565,-96.80286194683003
MTR059,"Sector 4, Dallas",2024-11-04 00:15:00,1105,702,MakeA,ModelY,32.77166622695798,-96.81707564910695
MTR040,"Sector 7, Dallas",2024-11-13 00:17:00,1508,734,MakeA,ModelY,32.74266400304073,-96.74962134864919
MTR082,"Sector 9, Dallas",2024-11-15 09:12:00,1375,792,MakeA,ModelX,32.7694091503396,-96.8346426878322
MTR007,"Sector 9, Dallas",2024-11-29 04:39:00,1034,538,MakeA,ModelY,32.75557895886503,-96.81164023602365
MTR014,"Sector 1, Dallas",2024-11-22 07:35:00,1865,522,MakeC,ModelY,32.81322318689813,-96.79538831060681
MTR074,"Sector 3, Dallas",2024-11-22 12:48:00,1727,635,MakeB,ModelZ,32.803247449178336,-96.830729091862
MTR099,"Sector 10, Dallas",2024-11-09 23:14:00,1848,505,MakeA,ModelY,32.72714863325653,-96.80137719184505
MTR067,"Sector 13, Dallas",2024-11-03 18:13:00,1218,770,MakeB,ModelZ,32.73096095407093,-96.75456614659282
MTR061,"Sector 13, Dallas",2024-11-23 20:10:00,1370,513,MakeB,ModelY,32.819721065171386,-96.82549877797005
MTR084,"Sector 14, Dallas",2024-11-07 06:51:00,1972,735,MakeB,ModelX,32.79319993750786,-96.83456587980051
MTR017,"Sector 7, Dallas",2024-11-12 04:38:00,1245,527,MakeC,ModelY,32.79335665873731,-96.77707432831808
MTR029,"Sector 5, Dallas",2024-11-11 08:53:00,1431,721,MakeC,ModelZ,32.80308498973334,-96.7557000770824
